loaded dump dir: .\src\Benchmark\RegressionCases\perf  (1402 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
14344                                             min=  140  p50=  141  p95=  148  avg=  141  max=  148  (us, n=20)
14345                                             min=  140  p50=  141  p95=  144  avg=  141  max=  144  (us, n=20)
149                                               min=  771  p50=  773  p95=  799  avg=  774  max=  799  (us, n=20)
150                                               min=  790  p50=  795  p95=  995  avg=  812  max=  995  (us, n=20)
15360                                             min=  141  p50=  141  p95=  143  avg=  141  max=  143  (us, n=20)
15361                                             min=  141  p50=  142  p95=  178  avg=  144  max=  178  (us, n=20)
15362                                             min=  141  p50=  141  p95=  144  avg=  141  max=  144  (us, n=20)
15363                                             min=  141  p50=  141  p95=  174  avg=  144  max=  174  (us, n=20)
15364                                             min=  140  p50=  141  p95=  182  avg=  143  max=  182  (us, n=20)
15365                                             min=  140  p50=  141  p95=  145  avg=  141  max=  145  (us, n=20)
15366                                             min=  141  p50=  141  p95=  144  avg=  141  max=  144  (us, n=20)
15367                                             min=  140  p50=  141  p95=  145  avg=  141  max=  145  (us, n=20)
15368                                             min=  141  p50=  141  p95=  253  avg=  149  max=  253  (us, n=20)
15369                                             min=  141  p50=  142  p95=  147  avg=  142  max=  147  (us, n=20)
156                                               min=  908  p50=  914  p95= 1181  avg=  942  max= 1181  (us, n=20)
1621                                              min=  558  p50=  641  p95=  803  avg=  650  max=  803  (us, n=20)
16468                                             min=  145  p50=  147  p95=  150  avg=  147  max=  150  (us, n=20)
16469                                             min=  146  p50=  147  p95=  253  avg=  160  max=  253  (us, n=20)
16470                                             min=  143  p50=  144  p95=  149  avg=  144  max=  149  (us, n=20)
16471                                             min=  143  p50=  144  p95=  166  avg=  146  max=  166  (us, n=20)
16472                                             min=  142  p50=  144  p95=  153  avg=  145  max=  153  (us, n=20)
16473                                             min=  141  p50=  142  p95=  152  avg=  142  max=  152  (us, n=20)
16474                                             min=  141  p50=  142  p95=  149  avg=  142  max=  149  (us, n=20)
16475                                             min=  140  p50=  141  p95=  161  avg=  142  max=  161  (us, n=20)
16476                                             min=  140  p50=  141  p95=  151  avg=  141  max=  151  (us, n=20)
16477                                             min=  139  p50=  140  p95=  256  avg=  146  max=  256  (us, n=20)
16478                                             min=  139  p50=  139  p95=  147  avg=  140  max=  147  (us, n=20)
16479                                             min=  139  p50=  142  p95=  195  avg=  146  max=  195  (us, n=20)
1648                                              min=  620  p50=  670  p95=  740  avg=  669  max=  740  (us, n=20)
1659                                              min=  632  p50=  685  p95=  927  avg=  701  max=  927  (us, n=20)
1664                                              min=  407  p50=  654  p95=  837  avg=  641  max=  837  (us, n=20)
1690                                              min=  620  p50=  669  p95=  792  avg=  678  max=  792  (us, n=20)
1693                                              min=  565  p50=  636  p95=  672  avg=  629  max=  672  (us, n=20)
17326                                             min=  152  p50=  152  p95=  181  avg=  154  max=  181  (us, n=20)
17327                                             min=  151  p50=  152  p95=  155  avg=  152  max=  155  (us, n=20)
17328                                             min=  149  p50=  151  p95=  234  avg=  164  max=  234  (us, n=20)
17329                                             min=  149  p50=  150  p95=  176  avg=  153  max=  176  (us, n=20)
